nome,whatsapp,estado,segmento
"Lead 1 auto peças","11900000001","SP","auto peças"
"Lead 2 auto peças","11900000002","SP","auto peças"
"Lead 3 auto peças","11900000003","SP","auto peças"
"Lead 4 auto peças","11900000004","SP","auto peças"
"Lead 5 auto peças","11900000005","SP","auto peças"
"Lead 6 auto peças","11900000006","SP","auto peças"
"Lead 7 auto peças","11900000007","SP","auto peças"
"Lead 8 auto peças","11900000008","SP","auto peças"
"Lead 9 auto peças","11900000009","SP","auto peças"
"Lead 10 auto peças","11900000010","SP","auto peças"
"Lead 11 auto peças","11900000011","SP","auto peças"
"Lead 12 auto peças","11900000012","SP","auto peças"
"Lead 13 auto peças","11900000013","SP","auto peças"
"Lead 14 auto peças","11900000014","SP","auto peças"
"Lead 15 auto peças","11900000015","SP","auto peças"
"Lead 16 auto peças","11900000016","SP","auto peças"
"Lead 17 auto peças","11900000017","SP","auto peças"
"Lead 18 auto peças","11900000018","SP","auto peças"
"Lead 19 auto peças","11900000019","SP","auto peças"
"Lead 20 auto peças","11900000020","SP","auto peças"
"Lead 21 auto peças","11900000021","SP","auto peças"
"Lead 22 auto peças","11900000022","SP","auto peças"
"Lead 23 auto peças","11900000023","SP","auto peças"
"Lead 24 auto peças","11900000024","SP","auto peças"
"Lead 25 auto peças","11900000025","SP","auto peças"
"Lead 26 auto peças","11900000026","SP","auto peças"
"Lead 27 auto peças","11900000027","SP","auto peças"
"Lead 28 auto peças","11900000028","SP","auto peças"
"Lead 29 auto peças","11900000029","SP","auto peças"
"Lead 30 auto peças","11900000030","SP","auto peças"
"Lead 31 auto peças","11900000031","SP","auto peças"
"Lead 32 auto peças","11900000032","SP","auto peças"
"Lead 33 auto peças","11900000033","SP","auto peças"
"Lead 34 auto peças","11900000034","SP","auto peças"
"Lead 35 auto peças","11900000035","SP","auto peças"
"Lead 36 auto peças","11900000036","SP","auto peças"
"Lead 37 auto peças","11900000037","SP","auto peças"
"Lead 38 auto peças","11900000038","SP","auto peças"
"Lead 39 auto peças","11900000039","SP","auto peças"
"Lead 40 auto peças","11900000040","SP","auto peças"
"Lead 41 auto peças","11900000041","SP","auto peças"
"Lead 42 auto peças","11900000042","SP","auto peças"
"Lead 43 auto peças","11900000043","SP","auto peças"
"Lead 44 auto peças","11900000044","SP","auto peças"
"Lead 45 auto peças","11900000045","SP","auto peças"
"Lead 46 auto peças","11900000046","SP","auto peças"
"Lead 47 auto peças","11900000047","SP","auto peças"
"Lead 48 auto peças","11900000048","SP","auto peças"
"Lead 49 auto peças","11900000049","SP","auto peças"
"Lead 50 auto peças","11900000050","SP","auto peças"
"Lead 51 auto peças","11900000051","SP","auto peças"
"Lead 52 auto peças","11900000052","SP","auto peças"
"Lead 53 auto peças","11900000053","SP","auto peças"
"Lead 54 auto peças","11900000054","SP","auto peças"
"Lead 55 auto peças","11900000055","SP","auto peças"
"Lead 56 auto peças","11900000056","SP","auto peças"
"Lead 57 auto peças","11900000057","SP","auto peças"
"Lead 58 auto peças","11900000058","SP","auto peças"
"Lead 59 auto peças","11900000059","SP","auto peças"
"Lead 60 auto peças","11900000060","SP","auto peças"
"Lead 61 auto peças","11900000061","SP","auto peças"
"Lead 62 auto peças","11900000062","SP","auto peças"
"Lead 63 auto peças","11900000063","SP","auto peças"
"Lead 64 auto peças","11900000064","SP","auto peças"
"Lead 65 auto peças","11900000065","SP","auto peças"
"Lead 66 auto peças","11900000066","SP","auto peças"
"Lead 67 auto peças","11900000067","SP","auto peças"
"Lead 68 auto peças","11900000068","SP","auto peças"
"Lead 69 auto peças","11900000069","SP","auto peças"
"Lead 70 auto peças","11900000070","SP","auto peças"
"Lead 71 auto peças","11900000071","SP","auto peças"
"Lead 72 auto peças","11900000072","SP","auto peças"
"Lead 73 auto peças","11900000073","SP","auto peças"
"Lead 74 auto peças","11900000074","SP","auto peças"
"Lead 75 auto peças","11900000075","SP","auto peças"
